en,cz
"any changes to the preregistration (such as changes in eligibility criteria, group membership cutoffs, or experimental procedures).","jakékoli změny oproti předregistraci (jako například změna kritérií pro zařazení do studie, kritéria pro rozřazení do skupin, nebo experimentální procedura)."
Comments about your Methods section,Komentář k Vaší metodice
RESULTS AND DISCUSSION SECTION,VÝSLEDKY A DISKUSE
The manuscript...,Článek...
"distinguishes explicitly between ""confirmatory"" (i.e., prespecified) and ""exploratory"" (i.e., not prespecified) analyses.","explicitně rozlišuje mezi ""konfirmační"" (naplánované) a ""explorační"" (nenaplánované) analýzou."
describes how violations of statistical assumptions were handled.,popisuje jak bylo naloženo s nenaplněnými statistickými předpoklady.
"justifies all statistical choices (e.g., including or excluding covariates; applying or not applying transformations; use of multi-level models vs. ANOVA).",zdůvodňuje všechny statistické volby (např. zařazení či přiřazení kovariátů; aplikování transformací; použití víceúrovňových modelů).
reports the sample size for each cell of the design.,popisuje velikost vzorku v každé skupině.
reports how incomplete or missing data were handled.,popisuje jak bylo naloženo s chybějícímy daty.
"presents protocols for data preprocessing (e.g., cleaning, discarding of cases and items, normalizing, smoothing, artifact correction).","předkládá protokoly pro úpravy dat (např. čištění, vyloučení pozorování či položek, normalizace, vyhlazení, či korekce artefaktů)."
Comments about your Results and Discussion,Komentář k Vašim výsledkům a diskusi
"DATA, CODE, AND MATERIALS AVAILABILITY SECTION","PŘÍSTUPNOST DAT, KÓDU A MATERIÁLŮ"
The following have been made publicly available...,Položky níže byly zpřístupněny veřejnosti...
"the (processed) data, on which the analyses of the manuscript were based.","(očištěná) data, na kterých jsou založeny výsledky popsané v článku."
all code and software (that is not copyright protected).,všechen kód a software (který není chráněn autorským právem).
"all instructions, stimuli, and test materials (that are not copyright protected).","všechny instrukce, stimuly, a materiály (které nejsou chráněny autorským právem)."
"Are the data properly archived (i.e., would a graduate student with relevant background knowledge be able to identify each variable and reproduce the analysis)?",Jsou všechna data řádně archivovaná (byl by student s relevantní znalostí tématu schopen určit všechny proměnné a zreprodukovat analýzu)?
"The manuscript includes a statement concerning the availability and location of all research items, including data, materials, and code relevant to the study.","Článek obsahuje prohlášení o přístupnosti a lokaci všech výzkumných položek, včetně dat, materiálů, a kódu."
"Comments about your Data, Code, and Materials","Komentář k přístupnosti dat, kódu a materiálů"
Write your comments here...,Pište komentář zde...
Provide an explanation here...,Vysvětlete zde...
Yes,Ano
No,Ne
N/A,N/A
Untitled,Bez názvu
"Transparency Report 1.0 (full, 36 items)","Zpráva Transparence (kompletní, 36 položek)"
"Transparency Report 1.0 (short, 12 items)","Zpráva Transparence (krátká, 12 položek)"
Not answered,Nezodpovězeno
No comments.,Žádný komentář.
This question needs to be answered.,Tato položka je povinná.
References,Reference
